date,ticker,S_recency,S_breadth,S_volume,S_events,pos,neg,total,smart_score,S_breadth_raw,S_volume_raw
2025-09-05,IRFC.NS,81.04442089796066,100.0,0.0,50.0,1,0,1,68.97,,
2025-09-05,ITBEES.NS,23.0093558216095,0.0,18.01033115117016,50.0,0,2,2,24.66,,
2025-09-05,ITC.NS,80.45959460857273,100.0,61.57772892780843,54.285714285714285,7,0,7,75.94,,
2025-09-05,JIOFIN.NS,78.93047899007797,100.0,0.0,50.0,1,0,1,68.02,,
2025-09-05,NBCC.NS,83.02765199789458,100.0,30.78886446390422,50.0,3,0,3,72.94,,
2025-09-05,NESTLEIND.NS,57.9541478942699,50.0,40.70066494451412,57.49999999999999,2,2,4,54.52,,
2025-09-05,NHPC.NS,77.38213574777592,87.5,66.80952676624453,50.0,7,1,8,71.5,,
2025-09-05,NIFTYBEES.NS,51.91209135150909,50.0,0.0,50.0,0,0,1,45.86,,
2025-09-05,NMDC.NS,39.64845145850015,20.0,48.79919561507437,50.0,1,4,5,39.22,,
2025-09-05,ONGC.NS,71.71215088901606,90.0,48.79919561507437,61.0,4,0,5,70.4,,
2025-09-05,PNB.NS,71.63497406125398,100.0,18.01033115117016,65.0,2,0,2,70.29,,
2025-09-05,RELIANCE.NS,70.23258056422523,85.0,75.72310676446432,50.0,8,1,10,68.68,,
2025-09-05,SAIL.NS,77.49961316585541,100.0,0.0,50.0,1,0,1,67.37,,
2025-09-05,SILVERBEES.NS,84.21820561027526,100.0,0.0,50.0,1,0,1,70.4,,
2025-09-05,SJVN.NS,38.71190855031713,62.5,40.70066494451412,50.0,2,1,4,46.49,,
2025-09-05,SPICEJET.NS,61.43924759554863,100.0,0.0,85.0,1,0,1,68.9,,
2025-09-05,SUNTV.NS,35.70971596647195,25.0,18.01033115117016,35.0,0,1,2,31.62,,
2025-09-05,TATAMOTORS.NS,86.17978269100189,100.0,0.0,50.0,1,0,1,71.28,,
2025-09-05,TATASTEEL.NS,55.176305627305375,50.0,55.64640573340176,58.333333333333336,3,3,6,54.98,,
2025-09-05,UPL.NS,65.66900751855592,75.0,40.70066494451412,57.49999999999999,3,1,4,63.0,,
2025-09-05,VEDL.NS,63.15890905761719,66.66666666666666,30.78886446390422,50.0,2,1,3,57.33,,
2025-09-05,YESBANK.NS,51.57630596730135,40.0,75.72310676446432,62.5,4,6,10,54.41,,
2025-09-06,ADANIENSOL.NS,66.556797569071,75.0,42.81600015474249,50.0,3,1,4,61.73,,
2025-09-06,BEL.NS,61.17880517486437,80.0,51.33543567051608,55.00000000000001,4,1,5,62.41,,
2025-09-06,BHEL.NS,53.0540981527766,41.66666666666667,87.46468725264032,54.16666666666666,4,6,12,54.5,,
2025-09-06,BLS.NS,69.91888235353333,75.0,42.81600015474249,71.25,3,1,4,68.56,,
2025-09-06,COALINDIA.NS,65.50617919055318,70.0,79.65866295709955,53.5,7,3,10,64.82,,
2025-09-06,DELTACORP.NS,50.0784145748207,62.5,100.0,55.93749999999999,9,5,16,59.02,,
2025-09-06,EASEMYTRIP.NS,62.4738263611055,50.0,32.389053777082125,50.0,1,1,3,53.85,,
2025-09-06,HCLTECH.NS,50.756641683340064,50.0,0.0,50.0,0,0,1,45.34,,
2025-09-06,HDFCBANK.NS,50.73524344337791,33.333333333333336,32.389053777082125,50.0,1,2,3,45.24,,
